Account,Avg Sales
Boston Beer Co,606334.0434
Pepsico Inc,275.9046483
Pepsico Inc,1752.613263
Pepsico Inc,2026.13564
Pepsico Inc,4106.657349
Pepsico Inc,5560.297445
Pepsico Inc,5832.949397
Pepsico Inc,6959.375469
Pepsico Inc,15483.20273
Pepsico Inc,16110.26785
Pepsico Inc,17004.40901
Pepsico Inc,17629.53052
Pepsico Inc,17788.10115
Pepsico Inc,19152.34481
Pepsico Inc,22109.04532
Pepsico Inc,22712.42969
Pepsico Inc,31820.12623
Pepsico Inc,32709.34288
Pepsico Inc,42589.03681
Pepsico Inc,48447.71715
Pepsico Inc,63764.32619
Pepsico Inc,66961.21197
Pepsico Inc,86873.62239
Pepsico Inc,99894.5979
Pepsico Inc,99926.06444
Pepsico Inc,105618.8399
Pepsico Inc,113111.9254
Pepsico Inc,135035.0322
Pepsico Inc,142616.5
Pepsico Inc,187501.1812
Pepsico Inc,193756.4785
Pepsico Inc,220375.0916
Pepsico Inc,285310.9089
Pepsico Inc,298465.9165
Pepsico Inc,304858.8182
Pepsico Inc,315893.9965
Pepsico Inc,325230.0618
Pepsico Inc,331029.1258
Pepsico Inc,335794.6382
Pepsico Inc,385477.8157
Pepsico Inc,451411.5681
Pepsico Inc,540165.5
Pepsico Inc,625064.7392
Pepsico Inc,650064.4732
Pepsico Inc,712867.6757
Pepsico Inc,716200.078
Pepsico Inc,754557.0023
Pepsico Inc,779706.3136
Pepsico Inc,904414.4674
Pepsico Inc,1670934.769
Pepsico Inc,2821848.002
Pepsico Inc,3196350.793
Pepsico Inc,6979994.229
Quaker Oats Company,22712.42969